plot_id,latitude,longitude,biomass_per_ha,canopy_height,ndvi_mean,sar_vv,sar_vh
ORNL_050,35.967556,-84.282109,251.106502277418,36.5,0.8515273775216138,-8.081206984565782,-13.846473005568107
ORNL_050,35.967556,-84.282109,231.656559590653,31.3,0.8515273775216138,-8.081206984565782,-13.846473005568107
ORNL_050,35.967556,-84.282109,250.707538399474,33.8,0.8515273775216138,-8.081206984565782,-13.846473005568107
ORNL_051,35.962469,-84.283958,259.515512504301,32.3,0.8412037778133504,-10.499422632829873,-16.68250947517294
ORNL_051,35.962469,-84.283958,222.245578349511,28.9,0.8412037778133504,-10.499422632829873,-16.68250947517294
ORNL_051,35.962469,-84.283958,255.552835235997,33.4,0.8412037778133504,-10.499422632829873,-16.68250947517294
ORNL_051,35.962469,-84.283958,216.461127715073,28.0,0.8412037778133504,-10.499422632829873,-16.68250947517294
ORNL_052,35.962389,-84.279989,24.8594692768084,17.0,0.8738224379103625,-6.848401236503102,-12.620398099183719
ORNL_052,35.962389,-84.279989,257.26968878999,29.3,0.8738224379103625,-6.848401236503102,-12.620398099183719
ORNL_052,35.962389,-84.279989,16.8139863558268,16.9,0.8738224379103625,-6.848401236503102,-12.620398099183719
ORNL_052,35.962389,-84.279989,304.177033023916,29.1,0.8738224379103625,-6.848401236503102,-12.620398099183719
ORNL_053,35.965252,-84.286859,287.907011969756,31.3,0.8401745533887904,-6.42027205373782,-11.979544297043422
ORNL_053,35.965252,-84.286859,415.227628982163,32.6,0.8401745533887904,-6.42027205373782,-11.979544297043422
ORNL_053,35.965252,-84.286859,270.342134460854,30.9,0.8401745533887904,-6.42027205373782,-11.979544297043422
ORNL_053,35.965252,-84.286859,395.781745015504,32.1,0.8401745533887904,-6.42027205373782,-11.979544297043422
ORNL_054,35.967045,-84.283124,310.998840213964,34.3,0.8558917197452229,-7.787477878560679,-12.729836978691726
ORNL_054,35.967045,-84.283124,248.849895041711,30.8,0.8558917197452229,-7.787477878560679,-12.729836978691726
ORNL_054,35.967045,-84.283124,298.595859805777,34.1,0.8558917197452229,-7.787477878560679,-12.729836978691726
ORNL_054,35.967045,-84.283124,241.321660287378,31.3,0.8558917197452229,-7.787477878560679,-12.729836978691726
ORNL_055,35.9608,-84.282663,260.697728761927,37.1,0.838650680755944,-9.031900218936176,-15.385087182984003
ORNL_055,35.9608,-84.282663,133.613611711753,38.8,0.838650680755944,-9.031900218936176,-15.385087182984003
ORNL_055,35.9608,-84.282663,292.42867058208,38.4,0.838650680755944,-9.031900218936176,-15.385087182984003
ORNL_055,35.9608,-84.282663,140.30230722627,40.3,0.838650680755944,-9.031900218936176,-15.385087182984003
ORNL_056,35.962157,-84.281616,232.065675472472,30.6,0.8525027459595167,-9.43215483768222,-15.12879964275406
ORNL_056,35.962157,-84.281616,186.157716799517,34.4,0.8525027459595167,-9.43215483768222,-15.12879964275406
ORNL_056,35.962157,-84.281616,227.328700502307,29.9,0.8525027459595167,-9.43215483768222,-15.12879964275406
ORNL_056,35.962157,-84.281616,185.635388877631,36.0,0.8525027459595167,-9.43215483768222,-15.12879964275406
ORNL_057,35.964836,-84.280231,211.689574406872,28.0,0.8851039260969977,-8.850076084573224,-14.96087615495577
ORNL_057,35.964836,-84.280231,312.00865538051,29.1,0.8851039260969977,-8.850076084573224,-14.96087615495577
ORNL_057,35.964836,-84.280231,238.435979649827,29.6,0.8851039260969977,-8.850076084573224,-14.96087615495577
ORNL_057,35.964836,-84.280231,348.738153806552,28.9,0.8851039260969977,-8.850076084573224,-14.96087615495577
ORNL_058,35.963319,-84.285921,185.353815547576,30.5,0.8834248961543615,-7.113021468929791,-12.916086025634215
ORNL_058,35.963319,-84.285921,178.06653108905,32.4,0.8834248961543615,-7.113021468929791,-12.916086025634215
ORNL_058,35.963319,-84.285921,180.196851100794,28.2,0.8834248961543615,-7.113021468929791,-12.916086025634215
ORNL_058,35.963319,-84.285921,220.421089146731,32.5,0.8834248961543615,-7.113021468929791,-12.916086025634215
